OverallCond,latest_contruction,TotalBsmtSF,GrLivArea,GarageArea,SalePrice,indicator
5,2003,856.0,1710,548.0,208500.0,1
8,1976,1262.0,1262,460.0,181500.0,1
5,2002,920.0,1786,608.0,223500.0,1
5,1970,756.0,1717,642.0,140000.0,1
5,2000,1145.0,2198,836.0,250000.0,1
5,1995,796.0,1362,480.0,143000.0,1
5,2005,1686.0,1694,636.0,307000.0,1
6,1973,1107.0,2090,484.0,200000.0,1
5,1950,952.0,1774,468.0,129900.0,1
6,1950,991.0,1077,205.0,118000.0,1
5,1965,1040.0,1040,384.0,129500.0,1
5,2006,1175.0,2324,736.0,345000.0,1
6,1962,912.0,912,352.0,144000.0,1
5,2007,1494.0,1494,840.0,279500.0,1
5,1960,1253.0,1253,352.0,157000.0,1
8,2001,832.0,854,576.0,132000.0,1
7,1970,1004.0,1004,480.0,149000.0,1
5,1967,0.0,1296,516.0,90000.0,1
5,2004,1114.0,1114,576.0,159000.0,1
6,1965,1029.0,1339,294.0,139000.0,1
5,2006,1158.0,2376,853.0,325300.0,1
7,1950,637.0,1108,280.0,139400.0,1
5,2002,1777.0,1795,534.0,230000.0,1
7,1976,1040.0,1060,572.0,129900.0,1
8,2001,1060.0,1060,270.0,154000.0,1
5,2007,1566.0,1600,890.0,256300.0,1
7,2000,900.0,900,576.0,134800.0,1
5,2008,1704.0,1704,772.0,306000.0,1
6,1997,1484.0,1600,319.0,207500.0,1
6,1950,520.0,520,240.0,68500.0,1
4,1950,649.0,1317,250.0,40000.0,1
6,2006,1228.0,1228,271.0,149350.0,1
5,2007,1234.0,1234,484.0,179900.0,1
5,1959,1398.0,1700,447.0,165500.0,1
5,2005,1561.0,1561,556.0,277500.0,1
5,2005,1117.0,2452,691.0,309000.0,1
5,1995,1097.0,1097,672.0,145000.0,1
6,1990,1297.0,1297,498.0,153000.0,1
7,2007,1057.0,1057,246.0,109000.0,1
5,1955,0.0,1152,0.0,82000.0,1
5,1965,1088.0,1324,440.0,160000.0,1
6,1959,1350.0,1328,308.0,170000.0,1
7,1983,840.0,884,504.0,144000.0,1
6,1980,938.0,938,308.0,130250.0,1
6,1959,1150.0,1150,300.0,141000.0,1
5,2005,1752.0,1752,576.0,319900.0,1
5,2003,1434.0,2149,670.0,239686.0,1
5,2006,1656.0,1656,826.0,249700.0,1
5,2008,736.0,1452,0.0,113000.0,1
7,1966,955.0,955,386.0,127000.0,1
6,1997,794.0,1470,388.0,177000.0,1
6,1950,816.0,1176,528.0,114500.0,1
5,1963,816.0,816,516.0,110000.0,1
5,1987,1842.0,1842,894.0,385000.0,1
5,1955,384.0,1360,572.0,130000.0,1
5,1964,1425.0,1425,576.0,180500.0,1
5,2000,970.0,1739,480.0,172500.0,1
5,2004,860.0,1720,565.0,196500.0,1
5,2006,1410.0,2945,641.0,438780.0,1
7,1972,780.0,780,352.0,124900.0,1
5,2004,1158.0,1158,576.0,158000.0,1
7,1996,530.0,1111,288.0,101000.0,1
5,2006,1370.0,1370,484.0,202500.0,1
6,1950,576.0,1710,480.0,140000.0,1
5,1998,1057.0,2034,645.0,219500.0,1
5,2005,1143.0,2473,852.0,317000.0,1
5,1989,1947.0,2207,576.0,180000.0,1
5,2003,1453.0,1479,558.0,226000.0,1
6,1950,747.0,747,220.0,80000.0,1
4,1953,1304.0,2287,667.0,225000.0,1
6,1973,2223.0,2223,516.0,244000.0,1
6,2006,845.0,845,360.0,129500.0,1
5,1998,832.0,1718,427.0,185000.0,1
7,2003,1086.0,1086,490.0,144900.0,1
6,1950,840.0,1605,379.0,107400.0,1
5,1973,462.0,988,297.0,91000.0,1
7,1956,952.0,952,283.0,135750.0,1
5,2001,672.0,1285,240.0,127000.0,1
5,1968,1768.0,1768,0.0,136500.0,1
6,1981,440.0,1230,440.0,110000.0,1
6,1968,896.0,2142,509.0,193500.0,1
5,1998,1237.0,1337,405.0,153500.0,1
5,2007,1563.0,1563,758.0,245000.0,1
5,1960,1065.0,1065,461.0,126500.0,1
5,1996,384.0,1474,400.0,168500.0,1
5,1992,1288.0,2417,462.0,260000.0,1
5,2005,684.0,1560,400.0,174000.0,1
5,2009,612.0,1224,528.0,164500.0,1
2,1982,1013.0,1526,0.0,85000.0,1
5,1995,990.0,990,0.0,123600.0,1
5,1950,0.0,1040,420.0,109900.0,1
3,1961,1235.0,1235,480.0,98600.0,1
7,2006,876.0,964,432.0,163500.0,1
6,1998,1214.0,2291,506.0,133900.0,1
5,1997,824.0,1786,684.0,204750.0,1
8,1993,680.0,1470,420.0,185000.0,1
5,1999,1588.0,1588,472.0,214000.0,1
5,1965,960.0,960,432.0,94750.0,1
5,1950,458.0,835,366.0,83000.0,1
5,1959,950.0,1225,0.0,128950.0,1
7,2001,1610.0,1610,480.0,205000.0,1
5,1985,741.0,1732,476.0,178000.0,1
5,1979,0.0,1535,410.0,118964.0,1
5,2009,1226.0,1226,740.0,198900.0,1
4,1950,1040.0,1818,240.0,169500.0,1
5,2004,1053.0,1992,648.0,250000.0,1
7,1995,641.0,1047,273.0,100000.0,1
5,1950,789.0,789,250.0,115000.0,1
7,2005,793.0,1517,0.0,115000.0,1
6,1977,1844.0,1844,546.0,190000.0,1
4,1972,994.0,1855,325.0,136900.0,1
5,2000,384.0,1430,400.0,180000.0,1
5,2007,1264.0,2696,792.0,383970.0,1
5,1953,1809.0,2259,450.0,217000.0,1
8,2002,1028.0,2320,180.0,259500.0,1
5,1999,729.0,1458,440.0,176000.0,1
5,1962,1092.0,1092,288.0,139000.0,1
5,2007,1125.0,1125,430.0,155000.0,1
5,1990,1673.0,3222,594.0,320000.0,1
5,2006,728.0,1456,390.0,163990.0,1
5,1969,938.0,988,540.0,180000.0,1
5,1950,732.0,1123,264.0,100000.0,1
7,1958,1080.0,1080,288.0,136000.0,1
5,1993,1199.0,1199,530.0,153900.0,1
5,1998,1362.0,1586,435.0,181000.0,1
8,1982,520.0,754,0.0,84500.0,1
5,1976,1078.0,958,440.0,128000.0,1
7,1950,672.0,840,0.0,87000.0,1
5,1966,660.0,1348,453.0,155000.0,1
7,1991,1008.0,1053,750.0,150000.0,1
6,1966,924.0,2157,487.0,226000.0,1
5,2000,992.0,2054,390.0,244000.0,1
6,2002,1063.0,1327,624.0,150750.0,1
5,2002,1267.0,1296,471.0,220000.0,1
6,1993,1461.0,1721,440.0,180000.0,1
6,1970,1304.0,1682,530.0,174000.0,1
5,1967,1214.0,1214,318.0,143000.0,1
5,1989,1907.0,1959,766.0,171000.0,1
5,2000,1004.0,1852,660.0,230000.0,1
5,1997,928.0,1764,470.0,231500.0,1
5,1971,864.0,864,0.0,115000.0,1
5,2005,1734.0,1734,660.0,260000.0,1
4,1952,910.0,1385,720.0,166000.0,1
5,1999,1490.0,1501,577.0,204000.0,1
5,1963,1728.0,1728,504.0,125000.0,1
5,2006,970.0,1709,380.0,130000.0,1
7,1993,715.0,875,180.0,105000.0,1
5,2001,884.0,2035,434.0,222500.0,1
5,2005,1080.0,1080,0.0,141000.0,1
4,1950,896.0,1344,240.0,115000.0,1
6,1975,969.0,969,440.0,122000.0,1
5,2008,1710.0,1710,866.0,372402.0,1
5,1971,825.0,1993,495.0,190000.0,1
7,1975,1602.0,1252,564.0,235000.0,1
5,1950,1200.0,1200,312.0,125000.0,1
5,1950,572.0,1096,0.0,79000.0,1
7,1950,0.0,1040,625.0,109500.0,1
5,2010,774.0,1968,680.0,269500.0,1
5,2005,991.0,1947,678.0,254900.0,1
5,2006,1392.0,2462,576.0,320000.0,1
6,1984,1232.0,1232,516.0,162500.0,1
5,2004,1572.0,2668,726.0,412500.0,1
5,2005,1541.0,1541,532.0,220000.0,1
6,1956,882.0,882,0.0,103200.0,1
7,2004,1149.0,1616,216.0,152000.0,1
7,1999,644.0,1355,0.0,127500.0,1
5,1993,1617.0,1867,303.0,190000.0,1
5,2007,1582.0,2161,789.0,325624.0,1
5,2004,840.0,1720,440.0,183500.0,1
6,1981,1686.0,1707,511.0,228000.0,1
6,1950,720.0,1382,660.0,128500.0,1
5,1960,1080.0,1656,528.0,215000.0,1
7,1987,1064.0,1767,504.0,239000.0,1
5,1961,1362.0,1362,504.0,163000.0,1
5,1986,1606.0,1651,616.0,184000.0,1
7,2001,1202.0,2158,576.0,243000.0,1
5,1989,1151.0,2060,521.0,211000.0,1
5,1958,1052.0,1920,451.0,172500.0,1
5,2009,2216.0,2234,1166.0,501837.0,1
6,2006,968.0,968,480.0,100000.0,1
5,2000,756.0,1525,440.0,177000.0,1
6,1950,793.0,1802,216.0,200100.0,1
6,2006,0.0,1340,252.0,120000.0,1
5,2003,1362.0,2082,484.0,200000.0,1
8,1991,504.0,1252,576.0,127000.0,1
9,1993,1107.0,3608,840.0,475000.0,1
5,1991,1188.0,1217,497.0,173000.0,1
7,1987,660.0,1656,180.0,135000.0,1
5,1979,1086.0,1224,528.0,153337.0,1
5,2002,1593.0,1593,682.0,286000.0,1
8,1994,853.0,2727,440.0,315000.0,1
9,2004,725.0,1479,484.0,184000.0,1
5,1999,1431.0,1431,666.0,192000.0,1
5,2004,970.0,1709,380.0,130000.0,1
7,1972,864.0,864,352.0,127000.0,1
6,1976,855.0,1456,440.0,148500.0,1
5,2007,1726.0,1726,786.0,311872.0,1
4,1990,1360.0,3112,795.0,235000.0,1
6,1950,755.0,2229,0.0,104000.0,1
